,comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location,item_stolen,item_category,location_name,latitude,longitude
502,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/21/25 16:15,,2025-06-21 16:35:00-05:00,6/21/25,Summer,2025-026976,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
503,A subject took merchandise from the off-campus store without paying / The suspect was located and arrested by UCPD officers,Arrest,Theft,1554 E. 55th St. (Walgreens),6/21/25 13:47,,2025-06-21 13:47:00-05:00,6/21/25,Summer,25-00759,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
504,Theft of items left in building restroom / Referred to CPD,Referred,Information / Theft,5035 S. East End Ave. (Apartment Building),6/20/25 10:55 PM to 11:10 PM,,2025-06-21 00:38:00-05:00,6/21/25,Summer,2025-026903,"5035 S East End Ave, Chicago, Il, 60615",[ 41.80312247 -87.58534953],?,Unspecified - `Property`,Apartment Building,41.80312247,-87.58534953
505,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/20/25 17:15,,2025-06-20 17:20:00-05:00,6/20/25,Summer,2025-026854,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
506,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),6/20/25 12:55,,2025-06-20 13:01:00-05:00,6/20/25,Summer,2025-026817,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
507,A subject took merchandise from the off-campus store without paying / UCPD officers located and detained the suspect / Management declined prosecution,Ex. Cleared,Theft,1554 E. 55th St. (Walgreens),6/20/25 12:45,,2025-06-20 12:46:00-05:00,6/20/25,Summer,25-00754,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
508,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/20/25 11:15,,2025-06-20 11:22:00-05:00,6/20/25,Summer,2025-026806,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
509,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/20/25 9:05,,2025-06-20 09:06:00-05:00,6/20/25,Summer,2025-026784,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
510,License plate taken from vehicle parked on the street off-campus / CPD case JJ300631,CPD,Information / Theft,1261 E. 46th St. (Public Way),6/19/25 2:15 PM to 3:00 PM,,2025-06-19 15:13:00-05:00,6/19/25,Summer,2025-026636,"1261 E 46th St, Chicago, Il, 60653",[ 41.81123274 -87.5948878 ],license plate,Car & Car parts,Public Way,41.81123274,-87.5948878
511,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/19/25 14:20,,2025-06-19 14:22:00-05:00,6/19/25,Summer,2025-026633,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
512,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/18/25 14:40,,2025-06-18 14:47:00-05:00,6/18/25,Summer,2025-026471,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
513,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/18/25 12:30,,2025-06-18 12:44:00-05:00,6/18/25,Summer,2025-026462,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
514,Unknown subject took merchandise / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/17/25 15:50,,2025-06-17 15:51:00-05:00,6/17/25,Summer,2025-026317,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
515,Property taken from vehicle on the street off-campus / Referred to CPD,Referred,Information / Theft,1109 E. 52nd St. (Public Way),6/16/25 to 6/17/25 8:00 PM to 11:00 AM,,2025-06-17 13:33:00-05:00,6/17/25,Summer,2025-026298,"1109 E 52nd St, Chicago, Il, 60615",[ 41.80083766 -87.59953484],?,Unspecified - `Property`,Public Way,41.80083766,-87.59953484
516,Unknown subject took merchandise / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/17/25 10:10,,2025-06-17 10:15:00-05:00,6/17/25,Summer,2025-026274,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
517,Three brass caps for fire hose connections were taken,Open,Theft,920 E. 58th St. (Cummings),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 10:12:00-05:00,6/17/25,Summer,25-00747,"920 E 58th St, Chicago, Il, 60637",[ 41.78958746 -87.60453295],brass caps of fire hose,Miscellaneous,Cummings,41.78958746,-87.60453295
518,One brass cap for fire hose connections were taken,Open,Theft,5841 S. Maryland Ave. (Lying-In Hospital),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 10:11:00-05:00,6/17/25,Summer,25-00746,"5841 S Maryland Ave, Chicago, Il, 60637",[ 41.78877397 -87.60485715],brass caps of fire hose,Miscellaneous,Lying-In Hospital,41.78877397,-87.60485715
519,Two brass caps for fire hose connections were taken,Open,Theft,920 E. 59th St. (UCM),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 10:10:00-05:00,6/17/25,Summer,25-00745,"920 E 59th St, Chicago, Il, 60637",[ 41.78778221 -87.60297579],brass caps of fire hose,Miscellaneous,UCM,41.78778221,-87.60297579
520,Two brass caps for fire hose connections were taken,Open,Theft,970 E. 59th St. (Hicks McElwee),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 10:06:00-05:00,6/17/25,Summer,25-00744,"970 E 59th St, Chicago, Il, 60637",[ 41.78779461 -87.60190587],brass caps of fire hose,Miscellaneous,Hicks McElwee,41.78779461,-87.60190587
521,Six brass caps for fire hose connections were taken,Open,Theft,5824 S. Ellis Ave. (McLean Institute),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 10:04:00-05:00,6/17/25,Summer,25-00743,"5824 S Ellis Ave, Chicago, Il, 60637",[ 41.78912394 -87.60133081],brass caps of fire hose,Miscellaneous,McLean Institute,41.78912394,-87.60133081
522,Three brass caps for fire hose connections were taken,Open,Theft,947 E. 58th St. (Abbott Hall),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 10:02:00-05:00,6/17/25,Summer,25-00742,"947 E 58th St, Chicago, Il, 60637",[ 41.78947286 -87.60461745],brass caps of fire hose,Miscellaneous,Abbott Hall,41.78947286,-87.60461745
523,Seven brass caps for fire hose connections were taken,Open,Theft,901 E. 58th St. (UCM),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 10:00:00-05:00,6/17/25,Summer,25-00741,"901 E 58th St, Chicago, Il, 60637",[ 41.78947076 -87.60476882],brass caps of fire hose,Miscellaneous,UCM,41.78947076,-87.60476882
524,Three brass caps for fire hose connections were taken,Open,Theft,5815 S. Maryland Ave. (Mitchell Hospital),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 09:59:00-05:00,6/17/25,Summer,25-00740,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504],brass caps of fire hose,Miscellaneous,Mitchell Hospital,41.78922352,-87.60487504
525,Seven brass caps for fire hose connections were taken,Open,Theft,5700 S. Maryland Ave. (CCD),6/13/25 to 6/16/25 4:30 PM to 11:59 PM,,2025-06-17 09:58:00-05:00,6/17/25,Summer,25-00739,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721],brass caps of fire hose,Miscellaneous,CCD,41.7903992,-87.60501721
526,Purse taken / Referred to CPD,Referred,Information / Theft,1550 E. 55th St. (Caf�),6/17/25 9:00 AM to 9:20 AM,,2025-06-17 09:25:00-05:00,6/17/25,Summer,2025-026261,"1550 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58869987],bag,Bags,Caf�,41.79529345,-87.58869987
527,Three unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),6/16/25 15:20,,2025-06-16 15:27:00-05:00,6/16/25,Summer,2025-026126,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
528,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,Theft,1554 E. 55th St. (Walgreens),6/16/25 13:41,,2025-06-16 13:42:00-05:00,6/16/25,Summer,25-00734,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
529,Stainless steel caps taken from hoses,Open,Theft,5825 S. Dorchester Ave.,6/13/25 to 6/16/25 2:30 PM to 10:30 AM,,2025-06-16 10:46:00-05:00,6/16/25,Summer,25-00733,"5825 S Dorchester Ave, Chicago, Il, 60637",[ 41.78936352 -87.5914696 ],steel caps of fire hoses,Miscellaneous,,41.78936352,-87.5914696
530,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,Theft,1554 E. 55th St. (Walgreens),6/16/25 9:01,,2025-06-16 09:03:00-05:00,6/16/25,Summer,25-00730,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
531,Laptop taken from desk in 2nd floor office,Open,Theft,5735 S. Ellis Ave. (Searle Lab),6/8/25 to 6/9/25 8:00 PM to 8:00 AM,,2025-06-13 15:39:00-05:00,6/13/25,Summer,25-00721,"5735 S Ellis Ave, Chicago, Il, 60637",[ 41.79073052 -87.60120831],laptop,Tech,Searle Lab,41.79073052,-87.60120831
532,Cell phone and eyeglasses taken from patient's room,Open,Theft,5700 S. Maryland Ave. (CCD),6/10/25 to 6/11/25 11:00 PM to 9:00 AM,,2025-06-12 12:00:00-05:00,6/12/25,Summer,25-00717,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721],phone,Tech,CCD,41.7903992,-87.60501721
533,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/11/25 12:10,,2025-06-11 12:13:00-05:00,6/11/25,Summer,2025-025358,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
534,An unknown subject took a package from the lobby of an off-campus residential building / Referred to CPD,Referred,Information / Theft,S. Greenwood Ave. between E. 51st St. and E. 52nd St.,6/10/25 9:00,,2025-06-10 09:02:00-05:00,6/10/25,Summer,2025-025139,"5120 South Greenwood Avenue, Chicago, Il 60615-3819",[ 41.8016607 -87.6001175],package,Packages & Food delivery,,41.8016607,-87.6001175
535,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),6/10/25 7:20,,2025-06-10 07:33:00-05:00,6/10/25,Summer,2025-025128,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
536,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),6/9/25 8:24,,2025-06-09 08:24:00-05:00,6/9/25,Summer,2025-024945,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
537,Window smashed in vehicle parked on the street and property taken,Open,Theft,1350 E. Midway Plaisance (Public Way),6/7/25 8:50 AM to 10:18 AM,,2025-06-07 10:18:00-05:00,6/7/25,Summer,25-00688,"1350 E. Midway Plaisance, Chicago, Il",[ 41.7947633 -87.5916665],?,Unspecified - `Property`,Public Way,41.7947633,-87.5916665
538,Delivered packages taken from mail room of off-campus private apartment building / Referred to CPD,Referred,Information / Theft,S. Drexel Ave. between E. 54th St. and E. 55th St.,6/1/25 10:20 PM to 10:35 PM,,2025-06-06 12:15:00-05:00,6/6/25,Summer,2025-024587,"5420 South Drexel Avenue, Chicago, Il 60615-4910",[ 41.7961182 -87.6040967],package,Packages & Food delivery,,41.7961182,-87.6040967
539,Two Unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/5/25 17:30,,2025-06-05 17:46:00-05:00,6/5/25,Summer,2025-024469,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
540,Theft of UC owned moving cart documented,Open,Theft,5630 S. University Ave. (Max Palevsky RC),5/19/25 12:40,,2025-06-05 17:20:00-05:00,6/5/25,Summer,25-00678,"5630 S University Ave, Chicago, Il, 60637",[ 41.79266737 -87.59818173],moving cart,Car & Car parts,Max Palevsky RC,41.79266737,-87.59818173
541,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/5/25 13:49,,2025-06-05 13:49:00-05:00,6/5/25,Summer,2025-024436,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
542,Theft of UC owned moving cart documented,Open,Theft,1156 E. 61st St. (S. Woodlawn Ave. RC),5/19/25 12:40,,2025-06-05 12:41:00-05:00,6/5/25,Summer,25-00676,"1156 E 61st St, Chicago, Il, 60637",[ 41.78420791 -87.5974474 ],moving cart,Car & Car parts,S. Woodlawn Ave. RC,41.78420791,-87.5974474
543,Unknown person(s) smashed window of worker's van parked on the street off-campus and took tools / Referred to CPD,Referred,Information / Theft,4900 S. Greenwood Ave. (Public Way),6/5/2025  9:30 AM to 10:30 AM,,2025-06-05 10:54:00-05:00,6/5/25,Summer,2025-024407,"4900 S Greenwood Ave, Chicago, Il, 60615",[ 41.80591533 -87.59927541],tools,Tools,Public Way,41.80591533,-87.59927541
544,A secured electric scooter was taken from the bike rack,Open,Theft,948 E. 58th St. (Abbott Hall Bike Rack),6/5/25 10:45,,2025-06-05 09:45:00-05:00,6/5/25,Summer,25-00673,"948 E 58th St, Chicago, Il, 60637",[ 41.78958746 -87.60466012],e-scooter,Bikes & E-scooters,Abbott Hall Bike Rack,41.78958746,-87.60466012
545,A subject took merchandise from the off-campus store without paying / UCPD officers located and arrested the suspect,Arrest,Theft,1554 E. 55th St. (Walgreens),6/4/25 13:18,,2025-06-04 13:18:00-05:00,6/4/25,Summer,25-00669,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
546,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Theft,1554 E. 55th St. (Walgreens),6/4/25 10:10,,2025-06-04 10:21:00-05:00,6/4/25,Summer,2025-024237,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
547,"An unattended, unsecured fleece jacket was taken from coat rack in laboratory",Open,Theft,5815 S. Maryland Ave. (Mitchell Hospital),6/3/25 4:00 AM to 11:30 AM,,2025-06-04 03:10:00-05:00,6/4/25,Summer,25-00667,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504],clothing,Clothing & Jewelry,Mitchell Hospital,41.78922352,-87.60487504
548,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/1/25 17:43,,2025-06-01 17:43:00-05:00,6/1/25,Summer,2025-023781,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
549,Patient's wallet was taken,Open,Theft,5656 S. Maryland Ave. (UCMED),5/30/25 6:30 PM to 7:45 PM,,2025-05-30 20:19:00-05:00,5/30/25,Spring,25-00648,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297],credit card/wallet,"Wallet, Credit cards, Cash",UCMED,41.7921342,-87.60503297
550,A subject took merchandise from the off-campus store without paying / A UCPD officer located and arrested the suspect,Arrest,Theft,1346 E. 53rd St. (Target),5/29/25 15:39,,2025-05-29 15:39:00-05:00,5/29/25,Spring,25-00639,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
551,2019 Hyundai Sonata parked on the street off-campus was taken by unknown person(s) / Referred to CPD,Referred,Information / Motor Vehicle Theft,5445 S. Woodlawn Ave. (Public Way),5/28/25 to 5/29/25 7:00 PM to 10:30 AM,,2025-05-29 14:34:00-05:00,5/29/25,Spring,2025-023319,"5445 S Woodlawn Ave, Chicago, Il, 60615",[ 41.79627178 -87.59649483],car (hyundai 2019),Car & Car parts,Public Way,41.79627178,-87.59649483
552,"An unattended, unsecured purse taken",Open,Theft,5758 S. Maryland Ave. (DCAM Cafeteria),5/29/25 11:40 AM to 11:45 AM,,2025-05-29 12:01:00-05:00,5/29/25,Spring,25-00637,"5758 S Maryland Ave, Chicago, Il, 60637",[ 41.79005688 -87.60501186],bag,Bags,DCAM Cafeteria,41.79005688,-87.60501186
553,An unknown subject was seen taking a package from the porch of an off-campus residence / Referred to CPD,Referred,Information / Theft,S. Dorchester Ave. between E. 54th St. and E. 55th St.,5/28/25 14:55,,2025-05-28 15:19:00-05:00,5/28/25,Spring,2025-023190,"5420 South Dorchester Avenue, Chicago, Il 60615-5309",[ 41.7973734 -87.591986 ],package,Packages & Food delivery,,41.7973734,-87.591986
554,A subject took merchandise from the off-campus store without paying / UCPD officers located and arrested the suspect,Arrest,Theft,5228 S. Lake Park Ave. (Ulta),5/28/25 11:55,,2025-05-28 11:59:00-05:00,5/28/25,Spring,25-00635,"5228 S Lake Park Ave, Chicago, Il, 60615",[ 41.80058331 -87.58749464],merchandise,Merchandise,Ulta,41.80058331,-87.58749464
555,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,5228 S. Lake Park Ave. (Ulta),5/27/25 18:30,,2025-05-27 18:37:00-05:00,5/27/25,Spring,2025-023032,"5228 S Lake Park Ave, Chicago, Il, 60615",[ 41.80058331 -87.58749464],merchandise,Merchandise,Ulta,41.80058331,-87.58749464
556,A secured electric bicycle taken from bike rack,Open,Theft,1101 E. 58th St. (Rosenwald Bike Rack),5/27/25 11:45 AM to 12:45 PM,,2025-05-27 12:52:00-05:00,5/27/25,Spring,25-00631,"1101 E 58th St, Chicago, Il, 60637",[ 41.78954126 -87.59843594],bike (secured),Bikes & E-scooters,Rosenwald Bike Rack,41.78954126,-87.59843594
557,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,5228 S. Lake Park Ave. (Ulta),5/27/25 11:50,,2025-05-27 11:53:00-05:00,5/27/25,Spring,2025-022992,"5228 S Lake Park Ave, Chicago, Il, 60615",[ 41.80058331 -87.58749464],merchandise,Merchandise,Ulta,41.80058331,-87.58749464
558,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),5/26/25 12:40,,2025-05-26 12:40:00-05:00,5/26/25,Spring,2025-022795,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456],merchandise,Merchandise,Walgreens,41.79529345,-87.58874456
559,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),5/26/25 11:40,,2025-05-26 11:44:00-05:00,5/26/25,Spring,2025-022785,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
560,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),5/26/25 7:25,,2025-05-26 07:30:00-05:00,5/26/25,Spring,2025-022761,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282],merchandise,Merchandise,Target,41.79955044,-87.59306282
